,country,norm_pop,norm_le,norm_gni
83,Mexico,20.491038185124253,2.2039033457249078,34.780735651925
84,Haiti,26.243134963692512,1.6153448275862068,10.559287183002056
85,Equatorial Guinea,45.819227659971396,1.6924496644295306,50.587030716723554
86,Bahamas,14.124087591240876,1.3288352272727264,40.8586915073269
87,Belarus,1.859957627118644,1.3013812154696127,9.34000652812534
88,Pakistan,34.7607476635514,1.914897760467381,6.042808219178082
89,Yemen,27.127413127413128,2.283760683760685,6.068411953568782
90,Somalia,61.76627813504823,1.444557823129252,1.2465021622996693
91,Guatemala,50.00313777693258,2.254069767441861,20.477992528828974
92,Iceland,5.17915309446254,1.4925775978407558,134.8498553587808
93,Nicaragua,49.631550658425155,2.42736220472441,6.308600805891343
94,Libya,36.52535059331176,1.6158610271903315,32.08371222251939
95,Mauritius,11.290551391862955,1.9844947735191634,35.85739180946848
